Question,Answer,0,1,2,3,Label
enormously,tremendously,appropriately,uniquely,tremendously ,decidedly ,correct
provisions,stipulations,stipulations,interrelations,jurisdictions,interpretations ,wrong
haphazardly,randomly,dangerously ,densely,randomly ,linearly ,wrong
prominent,conspicuous,battered ,ancient,mysterious ,conspicuous ,wrong
zenith,pinnacle,completion ,pinnacle ,outset ,decline ,correct
flawed,imperfect,tiny ,imperfect,lustrous ,crude,correct
urgently,desperately,typically,conceivably ,tentatively ,desperately ,correct
consumed,eaten,bred ,caught ,eaten ,supplied ,correct
advent,coming,coming ,arrest ,financing ,stability ,correct
concisely,succinctly,powerfully,positively ,freely,succinctly ,correct
salutes,greetings,information ,ceremonies ,greetings ,privileges ,wrong
solitary,alone,alert ,restless ,alone ,fearless ,wrong
hasten,accelerate,permit ,determine ,accelerate ,accompany ,correct
perseverance,endurance,endurance ,skill ,generosity ,disturbance ,correct
fanciful,imaginative,familiar ,imaginative ,apparent ,logical ,correct
showed,demonstrated,demonstrated ,published ,repeated ,postponed ,wrong
constantly,continually,instantly,continually ,rapidly ,accidentally ,
issues,subjects,training ,salaries,subjects ,benefits ,wrong
furnish,supply,supply ,impress ,protect ,advise ,wrong
costly,expensive,expensive ,beautiful ,popular ,complicated ,correct
recognized,acknowledged,successful,depicted ,acknowledged ,welcomed ,correct
spot,location,climate ,latitude ,sea ,location ,correct
make,earn,earn ,print ,trade ,borrow ,wrong
often,frequently,definitely ,frequently ,chemically ,hardly ,correct
easygoing,relaxed,frontier ,boring ,farming ,relaxed ,correct
debate,argument,war,argument,election,competition,wrong
narrow,thin,clear,freezing,thin,poisonous,correct
arranged,planned,planned,explained,studied,discarded,correct
infinite,limitless,limitless,relative,unusual,structural,wrong
showy,striking,striking,prickly,entertaining,incidental,wrong
levied,imposed,imposed,believed,requested,correlated,correct
deftly,skillfully,skillfully,prudently,occasionally,humorously,wrong
distribute,circulate,commercialize,circulate,research,acknowledge,wrong
discrepancies,differences,weights,deposits,wavelengths,differences,wrong
prolific,productive,productive,serious,capable,promising,wrong
unmatched,unequaled,unrecognized,unequaled,alienated,emulated,wrong
peculiarly,uniquely,partly,uniquely,patriotically,suspiciously,guess
hue,color,glare,contrast,color,scent,correct
hind,rear,curved,muscular,hairy,rear,correct
highlight,accentuate,alter,imitate,accentuate,restore,wrong
hastily,hurriedly,hurriedly,shrewdly,habitually,chronologically,correct
temperate,mild,cold,mild,short,windy,correct
grin,smile,exercise,rest,joke,smile,correct
verbally,orally,orally,overtly,fittingly,verbosely,wrong
physician,doctor,chemist,pharmacist,nurse,doctor,wrong
essentially,basically,possibly,eagerly,basically,ordinarily,correct
keen,sharp,useful,simple,famous,sharp,correct
situated,positioned,rotating,isolated,emptying,positioned,correct
principal,major,most,numerous,major,exceptional,correct
slowly,gradually,rarely,gradually,effectively,continuously,correct
built,constructed,constructed,proposed,financed,organized,wrong
tasks,jobs,customers,materials,shops,jobs,wrong
unlikely,improbable,improbable,disagreeable,different,unpopular,correct
halfheartedly,apathetically,customarily,bipartisanly,apathetically,unconventionally,guess
annals,chronicles,homes,trails,chronicles,songs,wrong
wildly,furiously,distinctively,mysteriously,abruptly,furiously,correct
hailed,acclaimed,judged,acclaimed,remembered,addressed,wrong
command,mastery,observation,love,awareness,mastery,wrong
concocted,devised,devised,cleaned,requested,supervised,correct
prospective,potential,particular,prudent,potential,prominent,wrong
generally,broadly,descriptively,broadly,controversially,accurately,wrong
sustained,prolonged,prolonged,refined,lowered,analyzed,correct
perilous,dangerous,binding,exciting,offensive,dangerous,wrong
tranquillity,peacefulness,peacefulness,harshness,weariness,happiness,correct
dissipate,disperse,disperse,isolate,disguise,photograph,correct
primarily,chiefly,occasionally,cautiously,consistently,chiefly,correct
colloquial,conversational,recorded,misunderstood,incorrect,conversational,correct
resolved,settled,publicized,forgotten,settled,examined,correct
feasible,possible,permitted,possible,equitable,evident,wrong
expeditiously,rapidly,frequently,actually,rapidly,repeatedly,wrong
percentage,proportion,volume,sample,proportion,profit,wrong
terminated,ended,ended,posed,postponed,evaluated,wrong
uniform,alike,hard,complex,alike,sharp,wrong
figure,solve,list,solve,divide,express,wrong
sufficient,enough,recent,physiological,enough,valuable,wrong
fashion,manner,ration,fathom,craze,manner,wrong
marketed,sold,frozen,sold,sweetened,diluted,wrong
bigger,larger,steadier,closer,larger,better,wrong
roots,origins,origins,rituals,cure,function,correct
normally,ordinarily,haltingly,ordinarily,permanently,periodically,wrong
